Date,Price,Open,High,Low,Vol.,Change %,Target,Return
2020-01-01,142.92,142.5,143.75,141.3,784400.0,0.42,147.16,
2020-01-02,147.16,143.35,148.49,142.65,4380000.0,2.97,149.48,2.9666946543520916
2020-01-03,149.48,150.0,150.6,146.75,4019999.9999999995,1.58,148.56,1.5765153574340809
2020-01-06,148.56,148.1,151.0,146.6,3990000.0,-0.62,149.01,-0.6154669521006071
2020-01-07,149.01,147.9,149.7,146.25,2360000.0,0.3,147.96,0.3029079159935303
2020-01-08,147.96,146.8,149.5,145.8,2260000.0,-0.7,148.56,-0.7046506945842447
2020-01-09,148.56,148.99,149.99,146.1,3810000.0,0.41,154.21,0.4055150040551462
2020-01-10,154.21,149.25,155.25,149.01,5410000.0,3.8,153.07,3.8031771674744244
2020-01-13,153.07,153.8,154.25,152.01,2350000.0,-0.74,151.45,-0.7392516698009304
2020-01-14,151.45,153.1,153.15,151.01,1180000.0,-1.06,150.97,-1.0583393218788821
2020-01-15,150.97,151.0,151.5,149.12,2530000.0,-0.32,149.96,-0.31693628260151196
2020-01-16,149.96,151.2,151.2,148.2,2040000.0,-0.67,150.25,-0.6690070875008219
2020-01-17,150.25,150.0,150.75,149.21,805200.0,0.19,149.13,0.19338490264069885
2020-01-20,149.13,150.9,151.75,147.65,1470000.0,-0.75,148.91,-0.7454242928452609
2020-01-21,148.91,149.0,149.75,148.0,1280000.0,-0.15,143.89,-0.14752229598336944
2020-01-22,143.89,148.51,148.51,140.72,19240000.0,-3.37,143.05,-3.371163790208858
2020-01-23,143.05,145.51,146.0,142.5,3540000.0,-0.58,143.71,-0.5837792758356904
2020-01-24,143.71,143.06,144.75,141.05,2110000.0,0.46,140.85,0.4613771408598368
2020-01-27,140.85,142.2,143.9,140.2,1610000.0,-1.99,140.07,-1.9901189896319071
2020-01-28,140.07,141.5,141.5,138.75,1200000.0,-0.55,140.92,-0.5537806176783822
2020-01-29,140.92,139.31,142.79,139.31,2120000.0,0.61,139.93,0.606839437424141
2020-01-30,139.93,140.15,140.85,139.05,2110000.0,-0.7,137.98,-0.7025262560317774
2020-01-31,137.98,139.5,141.2,137.71,1850000.0,-1.39,132.16,-1.3935539198170634
2020-02-03,132.16,137.25,137.5,131.0,2920000.0,-4.22,132.95,-4.218002609073774
2020-02-04,132.95,132.99,133.79,131.6,1670000.0,0.6,130.84,0.5977602905568947
2020-02-06,130.84,134.15,134.5,130.12,2500000.0,-1.59,129.11,-1.5870628055659912
2020-02-07,129.11,130.98,131.99,128.5,2780000.0,-1.32,125.94,-1.3222256190767272
2020-02-10,125.94,129.3,129.4,125.5,1690000.0,-2.46,127.82,-2.4552706994036213
2020-02-11,127.82,125.35,129.48,125.35,1440000.0,1.49,131.48,1.4927743369858626
2020-02-12,131.48,129.3,132.51,129.0,2900000.0,2.86,130.49,2.863401658582379
2020-02-13,130.49,132.8,132.8,130.01,653800.0,-0.75,129.54,-0.7529662306054006
2020-02-14,129.54,131.15,132.89,128.3,703000.0,-0.73,128.5,-0.7280251360257621
2020-02-17,128.5,130.39,130.5,128.01,514200.00000000006,-0.8,131.14,-0.8028408213679111
2020-02-18,131.14,129.25,132.49,128.25,2380000.0,2.05,134.83,2.0544747081711954
2020-02-19,134.83,132.0,136.45,131.99,4500000.0,2.81,133.6,2.813786792740603
2020-02-20,133.6,135.15,135.75,133.2,1090000.0,-0.91,131.39,-0.9122598828154105
2020-02-21,131.39,133.5,133.92,130.61,864700.0,-1.65,127.16,-1.654191616766473
2020-02-24,127.16,130.98,130.98,126.5,2310000.0,-3.22,124.7,-3.2194230915594724
