Metric,Value
n_obs,1552
date_start,2020-01-01
date_end,2026-04-03
price_mean,133.9722
price_std,64.7478
return_mean,0.074963
return_std,2.6294
return_skew,2.0691
return_kurt,51.6297
anova_F,0.8519
anova_p,0.52987
anova_eta2,0.0033
anova2_F_year,0.8531
anova2_p_year,0.528921
anova2_F_vr,2.1343
anova2_p_vr,0.118678
best_dist,Student-t
best_aic,6744.99
jb_stat,172348.8076
jb_p,0.0
reg_R2,0.999466
reg_adjR2,0.999464
reg_F,481266.347
reg_p,0.0
reg_RMSE,1.5002
arima_p,0
arima_q,3
arima_aic,7390.8
kw_H,3.8178
kw_p,0.701311
mw_U,63578.0
mw_p,0.174611
runs_Z,0.0428
runs_p,0.965867
