Date,Price,Open,High,Low,Vol.,Change %
04/03/2026,270.59,270,277.4,266.21,4.51M,-0.32%
04/02/2026,271.47,272.99,273.49,267,3.35M,-2.73%
04/01/2026,279.08,278.44,284.89,276,7.65M,3.12%
03/31/2026,270.64,264,276.5,260,4.14M,2.71%
03/30/2026,263.5,265,272,250,6.62M,-0.80%
03/27/2026,265.62,270,271.75,262.75,8.37M,-3.10%
03/26/2026,274.13,279.99,281.5,272.3,5.01M,-2.67%
03/25/2026,281.64,278,283.98,277.5,5.68M,1.86%
03/24/2026,276.5,285,289.3,275,5.29M,-0.04%
03/19/2026,276.61,275.01,279.88,270.05,3.02M,-1.12%
03/18/2026,279.75,264,281.99,262.01,5.14M,6.51%
03/17/2026,262.64,264,268,256.6,3.05M,0.30%
03/16/2026,261.86,272.99,275.5,259.52,2.41M,-4.11%
03/13/2026,273.09,272.8,276.65,269,2.92M,-0.63%
03/12/2026,274.81,283.4,285.5,273.65,4.56M,-2.99%
03/11/2026,283.27,289.95,291.1,281.5,3.78M,-1.85%
03/10/2026,288.6,290,297.9,281.01,7.44M,5.92%
03/09/2026,272.48,267,275.4,253.26,6.82M,-1.20%
03/06/2026,275.79,284,285.98,273.5,5.94M,-3.33%
03/05/2026,285.28,266,288.55,266,8.15M,8.24%
03/04/2026,263.56,261.95,265.48,256.25,5.85M,1.23%
03/03/2026,260.35,255.5,266,250.02,7.42M,2.05%
03/02/2026,255.12,255.12,274,255.12,11.96M,-10.00%
02/27/2026,283.47,286,287.7,282,2.21M,-1.23%
02/26/2026,287,282.1,290,277.51,4.36M,1.77%
02/25/2026,282.01,286,287.95,280.01,2.20M,-1.25%
02/24/2026,285.57,285.01,292.01,278.98,7.32M,0.25%
02/23/2026,284.85,289.88,294.4,282.5,4.99M,-1.91%
02/20/2026,290.41,285.12,292.99,280.5,3.60M,2.38%
02/19/2026,283.67,298.89,298.89,279.5,4.48M,-4.65%
02/18/2026,297.49,295.56,299.98,291.5,5.13M,1.32%
02/17/2026,293.6,287,295.4,284.37,6.86M,2.87%
02/16/2026,285.41,295,296.35,281.51,14.89M,-3.17%
02/13/2026,294.74,297.01,298.42,289.5,14.03M,-1.91%
02/12/2026,300.47,307.9,307.9,294.6,8.21M,-1.91%
02/11/2026,306.32,309.51,311.9,305,2.09M,-0.56%
02/10/2026,308.05,310.99,312.5,307,2.69M,-0.65%
02/09/2026,310.07,325,325,306.21,12.79M,-3.46%
02/06/2026,321.18,329,329,315.8,6.35M,-2.32%
02/04/2026,328.8,329.02,331,326,1.78M,-0.07%
02/03/2026,329.02,328.97,332.5,327,4.33M,0.02%
02/02/2026,328.97,323.79,330.98,320.26,5.48M,1.56%
01/30/2026,323.93,325,329.5,318.6,6.71M,0.66%
01/29/2026,321.81,335.01,336,320.16,10.91M,-3.52%
01/28/2026,333.56,332.51,336.2,331.6,6.69M,1.04%
01/27/2026,330.12,326,333,323,7.15M,0.81%
01/26/2026,327.47,329,332.5,325,4.36M,-0.12%
01/23/2026,327.85,332.55,335,325,4.98M,-1.40%
01/22/2026,332.49,330,334,328.65,3.16M,0.37%
01/21/2026,331.26,334.1,336.6,330,8.14M,-0.79%
01/20/2026,333.9,333.5,334.89,328,7.15M,1.50%
